Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,10/10,1,2,6,5,4,3,"JBL, SONY",3,5,4,5,5,4,3,5,I HAVE NO COMPLAINTS.,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COMPARING SPEAKER PRICES,18-24,FEMALE,"LESS THAN $25,000",N/A,n/a
YES,SEVERAL TIMES A WEEK,GOOD, CLARITY IS AWESOME,1,3,4,5,6,2,JBL,1,2,5,5,3,5,3,5,IMPROVE BATTERY LIFE ,"WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THE BRAND PLUS QUALITY OF MUSIC PLAY A HUGE PART ,25-34,MALE,"LESS THAN $25,000",WIRELESS SPEAKERS ARE A GAME CHANGER ,Wireless speakers are a game changer 
YES,DAILY,EXCELLENT,VERY GOOD,6,2,1,5,4,3,JBL,4,5,5,5,3,5,3,5,LOUDER ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COMPARED TO OTHERS,18-24,MALE,"LESS THAN $25,000",N/A,N/a
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,IT’S GOOD QUALITY BUT IT’S A SMALL SPEAKER SO IT DOESN’T GET AS LOUD AS OTHERS ,1,2,5,4,3,6,EWA,5,5,3,3,4,4,3,4,NO COMPLAINTS. ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",SOUND QUALITY AND BATTERY LIFE MAINLY. PRICE IS JUSTIFIED UP TO A CERTAIN POINT. ,18-24,FEMALE,"MORE THAN $100,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,I AM SATISFIED WITH IT BUT IT COULD BE CLEARER,5,6,4,3,2,1,MARSHALL,1,2,2,4,3,5,2,4,CUSTOMIZABLE OPTIONS,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF I CAN AFFORD IT IN MY MONTHLY BUDGET AND IF IT’S A NEED ,18-24,FEMALE,"LESS THAN $25,000",NA,Na
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,EXCELLENT,GREAT BASS AND CLEAR SOUND,1,3,5,2,4,6,WONDERBOOM,1,4,3,2,5,3,1,5,LONGER CONNECTIVITY RANGE,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",FAIR PRICE FOR QUALITY,18-24,FEMALE,"$25,000-$50,000",NO,No
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,IT HAS CRISP SOUND AND DUAL SPEAKER ACTION,1,4,6,2,5,3,U DUAL SPEAKERS,4,4,4,3,4,5,1,5,BIGGER SIZE PERHAPS,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),COMPARE THE PRICES WITH OTHER PRODUCTS WITH SIMILAR SPECS,18-24,MALE,"$25,000-$50,000",NONE,None
YES,SEVERAL TIMES A WEEK,EXCELLENT,VERY GOOD ,1,2,3,4,5,6,JBL,3,2,5,5,2,3,2,5,BATTERY LIFE ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",REVIEWS AND DURABILITY ,18-24,FEMALE,PREFER NOT TO SAY,:) ,:) 
YES,SEVERAL TIMES A WEEK,GOOD,THE BASS IS TOP NOTCH ,6,5,4,3,2,1,SAMSUNG,4,5,2,4,3,2,1,3,BATTERY LIFE,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IT AN IMPORTANT FACTOR ,18-24,MALE,"LESS THAN $25,000",NO,No
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,"IT PROJECTS A GOOD AMOUNT OF VOLUME, HOWEVER THE SOUND QUALITY ISNT THE BEST, BUT YOU GET WHAT YOU PAY FOR.",1,2,3,4,5,6,SONOS,3,3,4,4,5,3,4,3,BETTER SOUND QUALITY,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"DONT WANNA SPEND MORE THAN 100, ITS NOT REALLY A CRAZY PRIORITY",18-24,MALE,PREFER NOT TO SAY,N/A,n/a
YES,1-3 TIMES A MONTH,EXCELLENT,GREAT BALANCE OF ACOUSTICS. IT’S CLEAR AND HAS GREAT BASS WITHOUT THE HIGHS BEING TOO HARSH.,1,3,2,4,5,6,"BOSE, JBL",2,5,5,3,3,4,2,4,BATTERY LIFE (BUT ITS ALSO LIKE 6 YEARS OLD),LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$100 TO $200,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"BRAND REPUTATION, BUILD QUALITY, SOUND QUALITY, DESIGN, FUNCTIONALITY ",18-24,MALE,"$50,000-$75,000",N/A,N/A
YES,DAILY,GOOD,IT HAS REALLY GOOD SOUND QUALITY. I STILL THINK IT LACKS A BIT OF BALANCE BETWEEN WOOFER AND TWEETER.,1,3,6,5,2,4,"JBL, SONY, MINISO",2,4,4,4,3,5,1,4,BATTERY LIFE AND BETTER BASS OUTPUT.,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),MORE THAN $30 FOR AN UNPOPULAR BRAND IS CONSIDERED EXPENSIVE.,18-24,MALE,"LESS THAN $25,000",NONE,None
YES,SEVERAL TIMES A WEEK,GOOD,GETS A BIT STATIC FEEDBACK IF IT’S TOO LONG SOMETIME OR THE SONG HAS TOO MUCH BASS ,5,4,2,3,1,6,"BOSE, JBL, BEATS",2,2,1,3,3,2,2,4,"BETTER SOUND QUALITY EVEN IN MUSIC WITH LOTS OF BASS, WATERPROOF, WIFI ","LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS",SPENDING MORE TIME AT HOME,$50 TO $100,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"PREVIOUS REPORTS, REVIEWS OR EXPERIENCES WITH SPEAKER AND/OR PARTICULAR BRAND ",18-24,FEMALE,"LESS THAN $25,000",N/A,n/a
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,IT’S NOT THE LOUDEST BUT THE QUALITY IS GOOD ENOUGH THAT I PREFER IT OVER MY LAPTOP SPEAKERS ,1,3,5,4,6,2,SONY,2,3,3,2,5,3,3,4,LOUDER VOLUME AND A FAST FORWARD BUTTON,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE PRICE IS VERY IMPORTANT TO ME BUT ALSO THE SOUND QUALITY FINDING A BALANCE IS IMPORTANT,18-24,MALE,PREFER NOT TO SAY,GREAT SURVEY!,Great survey!
YES,SEVERAL TIMES A WEEK,EXCELLENT,THE BASS SHAKES THE ROOM AND I LOVE IT. ALSO EVERY SONG IS CRISP EVEN IF IT’S MORE ACCOUSTIC,1,5,6,4,2,3,"BOSE, JBL",4,4,4,4,4,1,1,5,I WISH THE BASS WAS A LITTLE MORE INTENSE REGARDLESS OF WHERE YOU SET IT DOWN.,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THE COMPANY NAME AND THE SOUND OF THE SPEAKER.,18-24,FEMALE,"MORE THAN $100,000",N/A,N/A
YES,SEVERAL TIMES A WEEK,EXCELLENT,"TONE IS CUSTOMIZABLE, GOOD BASS",1,4,5,6,3,2,"BOSE, JBL",2,4,4,5,5,1,1,5,HAVING A BETTER APP / METHOD OF CONNECTING SPEAKERS TO ONE ANOTHER ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","I WON’T SPEND OVER $200, SO I TRY TO GET THE HIGHEST QUALITY SPEAKER WITHIN THAT PRICE RANGE",18-24,MALE,"MORE THAN $100,000",NO COMMENTS,No comments
YES,DAILY,GOOD,"ITS A DECENT SPEAKER THAT WORKS WELL, BUT TRYING TO USE IT AT ITS LOUDEST IT GETS FUZZIER ",5,4,3,1,6,2,"BOSE, JBL",4,4,3,4,4,3,1,4,BETTER BATTERY LIFE ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",CONSIDERING DURABILITY AND LONGEVITY OF THE DEVICE. ,18-24,MALE,PREFER NOT TO SAY,WATERPROOF IS ALWAYS A PLUS ,Waterproof is always a plus 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,EXCELLENT,"MY JBL CHARGE 4 SPEAKER WORKS WELL, IT’S LOUD BUT ALSO CAN BE TURNED DOWN LOWER SO IT ISN’T TOO LOUD. I ALSO HAVE A FLIP 4 THAT IS EASIER TO TRAVEL WITH AND HAS A GREAT SOUND QUALITY. ",3,2,6,1,4,5,JBL,4,4,2,4,4,3,2,5,THE CHARGE 4 IS KINDA HEAVY BUT I DON’T MIND IT. ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",LOOK AT SIMILAR SPEAKERS AND THEIR PRICES ,18-24,FEMALE,"MORE THAN $100,000",N/A,N/A
YES,1-3 TIMES A MONTH,GOOD,IT’S GOOD WHEN I USE IT IN THE SHOWER ,1,2,3,4,5,6,JBL,1,2,2,2,5,4,3,5,LONGER BATTERY LIFE ,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF PRICE IS HIGHER. I ASSUME IT’S BETTER ,18-24,FEMALE,"MORE THAN $100,000",NOPE 🙂‍↔️,Nope 🙂‍↔️
YES,SEVERAL TIMES A WEEK,AVERAGE,IT’S MEDIOCRE,3,4,2,5,6,1,"MARSHALL, SONY",1,1,2,3,3,5,2,2,BETTER SOUND QUALITY AND BASS,WATCHING MOVIES/TV SHOWS,SPENDING MORE TIME AT HOME,$50 TO $100,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),THE QUALITY NEEDS TO MATCH THE PRICE ,25-34,MALE,"$50,000-$75,000",NA,Na
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,MY SONY WXM4 ARE ACTUALLY AMAZING AND WORTH THE PRICE. I ALSO HAVE LIKE GEN 1 AIRPODS THAT ARE GOOD FOR ON THE GO STUFF BUT THE SOUND QUALITY DOESN’T COMPARE TO THE SONY,5,4,2,1,3,6,SONY,4,5,3,4,4,3,2,5,EASIER TRANSFERRING BETWEEN DEVICES LIKE APPLE HAS (IK IT’S AN APPLE ISSUE BUT ONE CAN HOPE),LISTENING TO MUSIC,SPENDING MORE TIME IN THE LIBRARY WORKING ,$200 TO $300,1,TEST OUT IN-STORE (LIKE BEST BUY) THEN PURCHASE ONLINE CAUSE THEY USUALLY HAVE BETTER DISCOUNTS,SOUND QUALITY AND DURABILITY COMPARED TO COST,18-24,FEMALE,"$75,000-$100,000",NA,NA
YES,1-3 TIMES A MONTH,EXCELLENT,"THE SOUND QUALITY OF MY SPEAKER IS VERY GOOD, ALL THE AUDIO IS CRISP AND IT HAS GOOD BASE",1,3,6,5,2,4,"BOSE, JBL",3,3,3,5,4,3,5,5,LONGER BATTER LIFE AND BEING LOUDER,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I THINK THE MORE EXPENSIVE THE BETTER QUALITY OF THE SPEAKER SO I WANT SOMETHING EXPENSIVE BUT NOT TOO EXPENSIVE SO LIKE 100-250,18-24,MALE,"MORE THAN $100,000",NO,No
YES,RARELY (FEWER THAN ONCE A MONTH),AVERAGE,"HONESTLY CANT REMEMBER BECAUSE I HAVENT USED IT IN SO LONG, BUT I DONT REMEMBER IT BEING BAD OR AMAZING. JUST OKAY",2,3,6,4,5,1,"BOSE, JBL",1,4,4,3,5,4,2,3,IF IT WAS WATERPROOF,LISTENING TO MUSIC,NONE,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I HAVENT BOUGHT A WIRELESS SPEAKER IN YEARS SO I DONT KNOW,18-24,FEMALE,"$75,000-$100,000",NONE,None
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,POOR,THE SPEAKER IS OLD AND FULL OF SAND FROM MANY BEACH TRIPS,4,6,2,1,5,3,BOSE,1,1,1,1,5,1,1,1,"LARGER, BETTER SOUND, BETTER BATTERY, CUSTOMER SUPPORT, AND NICER TO LOOK AT",LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),WILL I USE IT ENOUGH TO GET MY MONEY'S WORTH BEFORE IT STARTS TO DEPRECIATE,18-24,FEMALE,"$25,000-$50,000",THANK YOU,thank you
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,EXCELLENT,IT IS GOOD ,4,1,6,2,5,3,BOSE,3,3,3,4,5,1,1,5,IT IS PORTABLE ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IF IT’S UNDER 100,18-24,FEMALE,"MORE THAN $100,000",NO I DON’T ,no i don’t 
YES,1-3 TIMES A MONTH,GOOD,NEEDS MORE BASS ,1,2,6,3,5,4,JBL,5,4,2,2,4,4,4,4,MORE BASS ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),PRICE VS SOUND QUALITY ,18-24,FEMALE,"$25,000-$50,000",/,/
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,GOOD,GETS PRETTY LOUD AND CLEAR,1,3,6,4,5,2,JBL,4,3,3,5,4,3,2,4,LONGER BATTERY LIFE,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",BRAND ,18-24,MALE,"MORE THAN $100,000",-,-
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,GOOD,PRETTY GOOD BUT NOT THE BEST,1,5,2,6,3,4,"BOSE, JBL, SONY",1,4,3,3,4,2,1,4,BETTER SOUND QUALITY ,LISTENING TO MUSIC,WORKING FROM HOME MORE,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I TRY TO FIND THE CHEAPEST ONE THAT STILL HAS GOOD REVIEWS ,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/A
YES,DAILY,EXCELLENT,"I LOVE MY SPEAKER, UE BOOM 2, I USE IT MOSTLY INSIDE.",1,2,5,6,3,4,UE BOOM,4,3,4,4,3,2,1,5,BETTER BATTERY LIFE,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",HOW LONG IT WILL LAST ME - A LONG TERM INVESTMENT,18-24,FEMALE,"MORE THAN $100,000",NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,IS OLD BUT BASS IS STILL BASSING ,1,2,6,5,4,3,JBL,4,5,5,5,5,3,3,4,ALLOW MULTIPLE DEVICES TO BE ADDED TO IT OR CONNECT TO NON BRANDED SPEAKERS ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",SIZE TO PRICE RATIO,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/A
YES,SEVERAL TIMES A WEEK,GOOD,I HAVE A MEGABOOM 3 SO THE BASS IS ACTUALLY GOOD AND HAS GOOD SOUND QUALITY.,1,2,4,3,5,6,"BOSE, JBL, SAMSUNG, SONY, MEGABOOM",3,4,5,5,3,2,3,5,BATTERY LIFE,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS",$100 TO $200,1,TARGET,IF ITS OVER 150 I AM NOT BUYING IT,18-24,MALE,"MORE THAN $100,000",N/A,n/a
YES,DAILY,GOOD,IT'S GOOD. THE BASE IS STRONG AND THE VOICES SOUND PRETTY CLEAR.,6,3,5,4,1,2,"SONY, BROOKSTONE",1,3,3,4,5,4,1,5,MAKE IT A LITTLE LESS BULKY.,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",ALWAYS!,18-24,FEMALE,"$50,000-$75,000",NA!,NA!
YES,1-3 TIMES A MONTH,AVERAGE,I HAVE A FREE WIRELESS SPEAKER I WON AT A FUNDRAISING EVENT AND IT IS JUST A STANDARD SPEAKER FROM JBL WITH BASIC SOUND QUALITY.,6,5,4,3,2,1,"BOSE, JBL, SAMSUNG",3,5,5,5,5,5,2,3,"BETTER SOUND QUALITY AND ABILITY TO ADJUST SPEAKER SETTING SUCH AS BASS, TONE, AND ETC.",LISTENING TO MUSIC,MORE ONLINE SOCIAL INTERACTIONS,$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE SOUND QUALITY AND DIFFERENCES BETWEEN OTHER BRANDS THEY ARE IN COMPETITION WITH.,18-24,FEMALE,PREFER NOT TO SAY,"NO, BUT GOOD LUCK WITH THE SURVEYING!","No, but good luck with the surveying!"
YES,ONCE A WEEK,GOOD,SOMETIMES I FEEL LIKE IT COULD BE LOUDER ,1,2,3,4,5,6,"BOSE, JBL",2,2,3,3,2,3,3,4,SOUND VOLUME,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",WORKING FROM HOME MORE,$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",YES ,18-24,FEMALE,PREFER NOT TO SAY,NO,No
YES,ONCE A WEEK,AVERAGE,IT IS GOOD AT LOW VOLUMES,1,2,6,4,5,3,JBL,3,4,5,4,4,2,1,4,LONGER BATTERY LIFE,LISTENING TO MUSIC,HOME WORKOUTS,$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",TAKE INTO ACCOUNT T QUALITY RELATIVE TO PRICE,18-24,MALE,"$25,000-$50,000",N/A,N/A
YES,DAILY,EXCELLENT,IT GETS VERY LOUD AND MAINTAINS A GREAT SOUND,3,1,4,2,5,6,"BOSE, JBL, SONY, ULTIMATE EARS",3,5,5,5,3,3,2,5,BATTERY LIFE,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",$200 TO $300,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I DONT,18-24,MALE,"MORE THAN $100,000",NO,no
YES,1-3 TIMES A MONTH,GOOD,"IT’S RELATIVELY HI FIDELITY FOR ITS SIZE, BUT IT’S SMALL.",2,3,6,4,5,1,JBL,5,3,3,3,3,3,3,3,"BETTER QUALITY, ALTHOUGH GIVEN ITS SIZE THAT MAY BE A BIT MUCH TO ASK FOR.",LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),GENERALLY AM NOT WILLING TO SPEND MORE THAN $100,18-24,MALE,"MORE THAN $100,000",N/A,N/A
YES,SEVERAL TIMES A WEEK,GOOD,IT COULD BE LOUDER ,1,2,3,4,5,6,JBL,4,4,5,5,5,3,3,4,BETTER SOUND QUALITY,LISTENING TO MUSIC,HOME WORKOUTS,$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COMPARISON,18-24,MALE,"$50,000-$75,000",N/A,N/A
